source_file,covered_start,covered_end,partition_type,partition_group,partition_group_id,sourcecategory,sourcecountry,sort,query_url,displayed_total,effective_complete_via_replacements,supersession_reason,genuine_limited_leaf,accounted_complete,expected_pages,valid_accessible_pages,valid_accessible_rows,accessible_exact_display_rows,accessible_exact_display_unique_ids,accessible_exact_ids_recovered_in_analysis,accessible_exact_ids_not_in_analysis,unrecovered_accessible_exact_record_ids,first_exact_page,last_exact_page,first_nonexact_page,exact_rows_form_prefix_before_nonexact_tail,inaccessible_pages,uncaptured_or_inaccessible_pages,uncaptured_accessible_result_rows,inaccessible_result_rows,total_unresolved_result_rows,inaccessible_tail_status,travel_query
raw-results-1580-o40-travel.json,1540,1620,sourcecategory,1580-o40,,travel & migration,,,https://www.findmypast.co.uk/search/results?eventyear=1580&eventyear_offset=40&lastname=glasgow&sourcecategory=travel%20%26%20migration,1209,true,,false,true,61,61,1209,0,0,0,0,,,,1,false,0,0,0,0,0,none,true
raw-results-1580.json,1540,1620,,,1580-o40,,,,https://www.findmypast.co.uk/search/results?eventyear=1580&eventyear_offset=40&lastname=glasgow,3282,true,complete sourcecategory partition group 1580-o40,false,true,165,75,1500,258,258,258,0,,1,13,13,true,90,90,0,1782,1782,unknown; not fetched because Findmypast redirects beyond page 75,false
raw-results-1600-o40-control.json,1560,1640,,,1600-o40-control,,,,https://www.findmypast.co.uk/search/results?eventyear=1600&eventyear_offset=40&lastname=glasgow,4500,false,,false,false,225,75,1500,304,304,304,0,,1,16,16,true,150,150,0,3000,3000,unknown; not fetched because Findmypast redirects beyond page 75,false
raw-results-1661-o40-social.json,1621,1701,sourcecategory,1661-o40,1661-o40-social,"newspapers, directories & social history",,,https://www.findmypast.co.uk/search/results?eventyear=1661&eventyear_offset=40&lastname=glasgow&sourcecategory=newspapers%2c%20directories%20%26%20social%20history&sid=999,1661,true,complete narrower date windows,false,true,84,1,20,8,8,8,0,,1,1,1,true,9,83,1480,161,1641,capture incomplete; accessible pages remain unsaved,false
raw-results-1661-o40-travel.json,1621,1701,sourcecategory,1661-o40,1661-o40-travel,travel & migration,,,https://www.findmypast.co.uk/search/results?eventyear=1661&eventyear_offset=40&lastname=glasgow&sourcecategory=travel%20%26%20migration&sid=999,2814,false,,true,true,141,75,1500,7,7,7,0,,1,1,1,true,66,66,0,1314,1314,unknown; not fetched because Findmypast redirects beyond page 75,true
raw-results-1661.json,1621,1701,,,1661-o40,,,,https://www.findmypast.co.uk/search/results?eventyear=1661&eventyear_offset=40&lastname=glasgow,5700,false,,false,true,285,1,20,20,20,20,0,,1,1,,true,210,284,1480,4200,5680,capture incomplete; accessible pages remain unsaved,false
raw-results-social-1682-o20.json,1662,1702,date,1661-o40-social,social-1682-o20,"newspapers, directories & social history",,,https://www.findmypast.co.uk/search/results?eventyear=1682&eventyear_offset=20&lastname=glasgow&sourcecategory=newspapers%2c%20directories%20%26%20social%20history&sid=999,1643,true,complete narrower date windows,false,true,83,1,20,8,8,8,0,,1,1,1,true,8,82,1480,143,1623,capture incomplete; accessible pages remain unsaved,false
raw-results-social-1693-o10.json,1683,1703,date,social-1682-o20,social-1693-o10,"newspapers, directories & social history",,,https://www.findmypast.co.uk/search/results?eventyear=1693&eventyear_offset=10&lastname=glasgow&sourcecategory=newspapers%2c%20directories%20%26%20social%20history&sid=999,1643,true,complete sourcecountry partition group social-1693-o10,false,true,83,1,20,8,8,8,0,,1,1,1,true,8,82,1480,143,1623,capture incomplete; accessible pages remain unsaved,false
raw-results-1721-o20-social.json,1701,1741,sourcecategory,1721-o20,social-1721-o20,"newspapers, directories & social history",,,https://www.findmypast.co.uk/search/results?eventyear=1721&eventyear_offset=20&lastname=glasgow&sourcecategory=newspapers%2c%20directories%20%26%20social%20history&sid=999,1687,true,complete sourcecountry partition group social-1721-o20,false,true,85,1,20,0,0,0,0,,,,1,false,10,84,1480,187,1667,capture incomplete; accessible pages remain unsaved,false
raw-results-1721-o20-travel.json,1701,1741,sourcecategory,1721-o20,1721-o20-travel,travel & migration,,,https://www.findmypast.co.uk/search/results?eventyear=1721&eventyear_offset=20&lastname=glasgow&sourcecategory=travel%20%26%20migration&sid=999,3028,false,,true,true,152,75,1500,8,8,8,0,,1,1,1,true,77,77,0,1528,1528,unknown; not fetched because Findmypast redirects beyond page 75,true
raw-results-1721.json,1701,1741,,,1721-o20,,,,https://www.findmypast.co.uk/search/results?eventyear=1721&eventyear_offset=20&lastname=glasgow,6831,false,,false,true,342,1,20,20,20,20,0,,1,1,,true,267,341,1480,5331,6811,capture incomplete; accessible pages remain unsaved,false
raw-results-1746-o5-travel.json,1741,1751,sourcecategory,1746-o5,1746-o5-travel,travel & migration,,,https://www.findmypast.co.uk/search/results?eventyear=1746&eventyear_offset=5&lastname=glasgow&sourcecategory=travel%20%26%20migration&sid=999,2537,false,,true,true,127,75,1500,8,8,8,0,,1,1,1,true,52,52,0,1037,1037,unknown; not fetched because Findmypast redirects beyond page 75,true
raw-results-1746.json,1741,1751,,,1746-o5,,,,https://www.findmypast.co.uk/search/results?eventyear=1746&eventyear_offset=5&lastname=glasgow,5886,false,,false,true,295,1,20,20,20,20,0,,1,1,,true,220,294,1480,4386,5866,capture incomplete; accessible pages remain unsaved,false
