group_id,name,event_type,event_date,place,status,no_match_status,profile_id,candidate_decision,exact_date,exact_locality,exact_relatives,missing_for_confirmation,profile_url
fmp-glasgow-015f1040785c,James Glasgow,baptism,19 Aug 1711,Irvine,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1238,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1238
fmp-glasgow-02653182f969,Edward Glasgow,Rate Books,1726,London,no_wikitree_match_found,no_wikitree_match_found,,no_candidate,,,,,
fmp-glasgow-033cb073721c,William Glasgow,baptism,12 Jun 1733,Dundonald,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-2426,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-2426
fmp-glasgow-0840d67a902e,Mary Glasgow,baptism,23 Jun 1713,Irvine,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Montfort-466,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Montfort-466
fmp-glasgow-085f2bfa8f46,Mary Glasgow,baptism,23 Jan 1732,Livingston,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Barber-16725,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Barber-16725
fmp-glasgow-085f2bfa8f46,Mary Glasgow,baptism,23 Jan 1732,Livingston,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1240,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1240
fmp-glasgow-085f2bfa8f46,Mary Glasgow,baptism,23 Jan 1732,Livingston,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Robertson-20326,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Robertson-20326
fmp-glasgow-0c2f6ea005a4,Marion Glasgow,baptism,14 Jan 1701,Irvine,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1428,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1428
fmp-glasgow-0d518da8d557,Andrew Glasgow,baptism,25 Jan 1712,Kilwinning,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1336,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1336
fmp-glasgow-0d518da8d557,Andrew Glasgow,baptism,25 Jan 1712,Kilwinning,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1931,possible_candidate,False,True,False,no exact full event-date bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1931
