group_id,name,event_type,event_date,place,status,no_match_status,profile_id,candidate_decision,exact_date,exact_locality,exact_relatives,missing_for_confirmation,profile_url
fmp-glasgow-12600707e614,Marioune Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1429,possible_candidate,False,True,False,no exact full event-date bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1429
fmp-glasgow-155c74c6dd03,John Glasgow,baptism,10 ? 1616,Midcalder,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1084,possible_candidate,False,False,True,no exact full event-date bridge; no exact locality bridge,https://www.wikitree.com/wiki/Glasgow-1084
fmp-glasgow-155c74c6dd03,John Glasgow,baptism,10 ? 1616,Midcalder,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3015,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3015
fmp-glasgow-155c74c6dd03,John Glasgow,baptism,10 ? 1616,Midcalder,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3056,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3056
fmp-glasgow-1eebe322b8b9,William Glasgow,baptism,21 Aug 1639,Inveresk,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1497,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1497
fmp-glasgow-1eebe322b8b9,William Glasgow,baptism,21 Aug 1639,Inveresk,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-2462,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-2462
fmp-glasgow-223c981b581f,George Glasgow,baptism,17 Feb 1605,Mid Calder,confirmed_match,not_applicable_confirmed,Glasgow-1082,confirmed_match,True,True,True,,https://www.wikitree.com/wiki/Glasgow-1082
fmp-glasgow-26c2dd21572c,Katherine Glasgow,testament/probate,9 May 1605,,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3590,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3590
fmp-glasgow-27ad044d0e56,Issobell Glasgow,marriage,10 Jun 1619,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3185,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3185
fmp-glasgow-27ad044d0e56,Issobell Glasgow,marriage,10 Jun 1619,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3336,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3336
