first_name,last_name,year,place,county,collection,transcript_url
Alexander,Adam,1588,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012378
James,Adam,1595-96,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012379
Patrick,Adam,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012380
Robert,Aikin,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012511
Matthew,Aikman,1577,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012579
Andrew,Aikyne,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012580
John,Aisdaill,1599,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012613
Robert,Aitkin,1588,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012721
William,Aittoune,1596-97,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012730
John,Alderstone,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012742
Peter,Alderstoun,1578,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012743
Patrick,Alexander,1582-83,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012820
Peter,Alexander,1581,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012819
Robert,Algeo,1576-77,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012888
James,Algie,1598-99,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0012902
Gavin,Allan,1598-99,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013030
John,Allan,1585,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013028
John,Allan,1594-95,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013029
Robert,Allan,1582-83,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013027
Arthur,Allansome,1579-80,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013113
John,Allansoun,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013114
Andrew,Allasoun,1583,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013155
Fynelaye,Allassoun,1599,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013167
Andrew,Allousoun,1590,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013186
David,Anderson,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013470
David,Anderson,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013477
James,Anderson,1581,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013468
James,Anderson,1582,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013469
James,Anderson,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013476
John,Anderson,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013463
John,Anderson,1578-79,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013466
John,Anderson,1581,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013467
John,Anderson,1584-85,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013471
John,Anderson,1589-90,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013472
Robert,Anderson,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013475
Robert,Anderson,1596-97,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013478
Thomas,Anderson,1589-90,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013473
William,Anderson,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013464
William,Anderson,1578,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013465
William,Anderson,1595,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013474
William,Anderson,1598,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013479
David,Andrew,1596,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1031576
David,Andrew,1597,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1031577
Robert,Andrew,1581,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013657
David,Andro,1595,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013669
