ID,name_as_recorded,normalised_name,date,place,status_occupation,spouse,stated_relatives,property,associates,notary_clerk,source,exact_reference,URL,true_surname_confidence,possible_matches,reasons_for_match,reasons_against_match,evidence_grade
G1447,"Johanne de Glasgu",John Glasgow,1447-06-21,Glasgow,burgess,,,Witness to Walkergate annual-rent sale,"Thomas Wyntir; John Red; John Ade; William Oglach; William Stevenson; William Jackson; Robert Pettigrew",Henry Michael,Liber Collegii Nostre Domine,"Munimenta Fratrum no. 26, p. 168; BL68/GUA12418",https://archive.org/details/libercollegiino00annegoog,High,"G1455; S1475","same form/city/notary as G1455; chronology allows S1475","no owned property or kin; no Stirling network overlap",DIRECT occurrence; STRONG G1447=G1455
G1455,"Johanne de Glasgu",John Glasgow,1455-04-10,Glasgow,witness,,,Fullers Street and St Thenew Street annual-rent sales,"John Macmulan; David Hyne; Andrew Brady; Robert Fausyde",Henry Michael,Liber Collegii Nostre Domine,"Appendix XXV, pp. 262-263; BL82/GUA12430",https://archive.org/details/libercollegiino00annegoog,High,"G1447; S1475","same form/city/notary as G1447","catalogue date conflict; no property/kin",DIRECT occurrence; STRONG G1447=G1455
S1475,"John Glasgw",John Glasgow,1475-04-11,Stirling,witness,,,6s annual from John Spalding High Street tenement,"Robert and John Gelis; John Hastings; John Lyntoun; Forsithsons; Taylors; William Benny; John Auldcorn; Alexander Brade; Alexander Kirkwood",Sir James Darow,Charters relating to Stirling,"Appendix I no. 5, p. 185",https://archive.org/details/chartersotherdoc00stir,High,"S1480; G1447/G1455","same rare name; S1480 same notarial milieu; chronology allows Glasgow John","no status/property/associate shared with Glasgow",DIRECT occurrence; POSSIBLE match to Glasgow John
S1480,"John Glasgw",John Glasgow,1480-03-02,Stirling,witness,,,Annuals for St Anne and BVM altars,"Adam Cosour; Thomas Cragingelt; Andrew Bully; Thomas Stewart; Andrew Morys; Gilbert Brady boundary",James Darow milieu,Charters relating to Stirling,"Appendix II no. 13, p. 208",https://archive.org/details/chartersotherdoc00stir,High,"S1475; G1447/G1455","same name/city within five years","no stated status/kin; no Glasgow network overlap",DIRECT occurrence; STRONG S1475=S1480
A1495,"Alan Glasgw",Alan Glasgow,1495-02-26,Jedburgh justice ayre,deceased victim,,"slaughter of Alan; no relatives stated",None,"James Pilmure in Ednam; Ralph Ker surety",,Pitcairn Ancient Criminal Trials,"vol. I part I p. 19; underlying NRS JC1/1 folio not established",https://www.wikitree.com/wiki/Space:Alan_Glasgw,Medium,None,"true personal-name context","no residence/property/kin; only printed abstract inspected in prior project work",DIRECT printed occurrence; isolated
J1506,"John de Glasgow alias Smith",John Glasgow alias Smith,1506-04-28,Glasgow,joint acquirer,,unknown Smith relationship,4s ground annual east High Street Cathedral to Cross,"Agnes daughter/heir Robert Watson; Sir Allan Smith; Sir John Finnyson",Unknown,Blackhouse Charters,"BL204/GUA16403 catalogue entry",https://www.gla.ac.uk/media/Media_223124_smxx.pdf,High,"J1527","city and chronology fit","explicit alias; different property; no repeated associate",DIRECT catalogue occurrence; identity POSSIBLE/UNSUPPORTED
W1526,"Willelmi Glasgw",William Glasgow,1526-07-02,Unstated,remission recipient,,,None,"James Sandilands of Calder; Robert Bruce of Auchinbowie; Richard Graham; others",Royal chancery,Registrum Secreti Sigilli,"vol. I no. 3412 p. 516",https://archive.org/details/registrumsecret00scotgoog,High,"W1531","name/chronology fit","no residence/trade/kin or distinctive shared associate",DIRECT occurrence; POSSIBLE identity
J1527,"Johannis Glasgu",John Glasgow,1527-05-02,Glasgow,tenement holder,"possibly Eufame Craig",,West Cross to South Port between Rankin and Young,"Andrew Loppe; James Houston; John Gayo; Robert Anderson; William Adam; John Craig; John Good",John Black,Liber Collegii Nostre Domine,"pp. 85-86",https://archive.org/details/libercollegiino00annegoog,High,"J1506; possible son of S1475; father/relative of W1531","exact parcel later William's and inherited by William's son; Eufame's surviving rear liferent fits a widow's interest created under John; Stirling John is active in the preceding generation","no transfer or relationship wording; Eufame's husband's forename is blank; no direct Stirling-to-Glasgow bridge",DIRECT occurrence; property link STRONG; Eufame-spouse LEADING HYPOTHESIS; Stirling father POSSIBLE
W1531,"Willelmi Glasgu / Willelmo Glasgw / Wylyem Glasgow / q. Wylzem Glasgw",William Glasgow,"1529-02-20 to 1536-03-16",Glasgow,witness and landholder,Esbell Brade,"son John; daughter-in-law Janet Spreull","North of Henryson/Houston parcel by 20 Feb 1528/29; back tenement settled 1534; Rankin-Young parcel; same 4s annual later charged on late William's tenement","James Houston; Malcolm Henryson alias Makandoy; Andrew Craig; John Rankin; John Walker; John Waulderston; John Croket; Patrick Lyon","John Moresoun; Michael Fleming/Town Clerks","Liber Collegii Nostre Domine; Town Clerks protocols","pp. 90-91 and 36; protocols 1058, 1196, 1201, 1233",https://archive.org/details/libercollegiino00annegoog,High,"W1526; successor/relative of J1527","same parcel within about 21.5 months; exact neighbours and institutional 4s burden; inherited by son","no parent or acquisition formula",DIRECT family facts; STRONG property continuity; parent POSSIBLE
J1534,"John Glasgow / John Glasgw",John Glasgow,"1534-12-31 to 1536-07-11",Glasgow,son and property recipient,Janet Spreull,"William Glasgow and Esbell Brade parents",Back tenement with Cross-South Gate access,"William Anderson; John Croket; Spreull witness; John Walker; John Waulderston",Michael Fleming/Town Clerks,Town Clerks protocols,"nos. 1196, 1258",https://archive.org/details/abstractsprotoc08robegoog,High,"John heir in 1564","same parents/property/city; explicit heir formula in 1564","1536 witness lacks qualifier",DIRECT son in 1534; STRONG later identity
