property_id,description,street_location,holder,spouse,transaction_date,previous_holder,next_holder,neighbours,superior,annual_rent,witnesses,source_reference,notes
P-WALK1447,Rood of Alexander Sawar,West Walkergate,Alexander Sawar,unnamed wife,1447-06-21,,Dominican prior/convent annual-rent holder,"John Ade north; William Stevenson south",,3s6d,"Thomas Wyntir; John Red; John Ade; John de Glasgu; William Oglach; William Stevenson; William Jackson; Robert Pettigrew","Liber Collegii no. 26 p.168; BL68/GUA12418","John is witness not owner"
P-FULL1455,Tenement owing annual,West Fullers Street,John Stenson,,1455-04-10,,David Cadzow annual-rent holder,"late Andrew Raburn north; Thomas Wan south",,3s,"John Macmulan; David Hyne; Andrew Brady; John de Glasgu; Robert Fausyde","Liber Collegii appendix XXV pp.262-263; BL82/GUA12430","John is witness; date conflicts with catalogue"
P-TENEW1455,Tenement owing annual,North St Thenew Street,"Mariota Dunn widow of William Kerswell",William Kerswell,1455-04-10,,David Cadzow annual-rent holder,"Matthew Stewart west; William Goldsmith east",,2s,"same as P-FULL1455","same","John is witness; not owner"
P-STIR1475,John Spalding tenement,North High Street Stirling,Master John Spalding,,1475-04-11,Robert Gelis family annual,John Hastings annual,"John Kirkwood west; late Robert Haket east",,6s,"John Lyntoun; John Glasgw; Forsithsons; Taylors; William Benny; John Auldcorn; Alexander Brade; Alexander Kirkwood; James Darow","Stirling Charters appendix I no.5 p.185","John is witness"
P-STIR1480-A,Tenement owing altar annual,Stirling,unnamed holder,,1480-03-02,Adam Cosour annual,St Anne altar annual,"Gilbert Brady west; late William Murray east",,20s,"Thomas Stewart; Andrew Morys; John Glasgw","Stirling Charters appendix II no.13 p.208","John is witness"
P-BRADY-DOW1479,Dow Well Croft and burgh roods,Stirling,"Gilbert Brady",,1479-09-25,"John Brady burgess (inheritance predecessor)",,"John Gourlay; Thomas Nairn",burgh,,"John Crag bailie","Stirling Burgh Records Appendix p.265; Stirling protocol p.239","Directly calls Gilbert grandson of John; hereditary chain, not a Glasgow property"
P-BRADY-BERK1523,Berkhous Croft south of Blackfriars orchard,Stirling,"Gilbert Brady 1523; John Brady of Easter Kennet 1531",,"1523; 1531","Gilbert Brady","John Brady of Easter Kennet","Blackfriars orchard north",burgh/church context,,,"Page & Page, Blackfriars of Stirling, PSAS 126 (1996)","Exact-property succession; strong circumstantial kinship"
P-BRADY-KENNET,Easter Kennet and neighbouring Carse/Dryfield riggs,Clackmannanshire,"Gilbert Brady 1514/15; John Brady of Easter Kennet 1534",,"1515; 1534",,"Bruce of Wester Kennet superiority","John Brydie resignation 1534","David Bruce of Wester Kennet",,,"NRS GD11/35, GD11/38, GD11/39; RSS 24 Apr 1527","Territorial succession reinforces Gilbert-to-John hypothesis; precise title chain incomplete"
P-BRADY-RUTH,Fore/back tenement garden and two adjoining rigs,South Street Rutherglen,"Mariota Hamilton; John Brady and Isabella Oswald; Malcolm Brady","late John Brady; Isabella Oswald","1538-03-24; 1542-11-23; 1543-01-08; 1543-07-16; 1543-10-30","Mariota Hamilton from late father James Hamilton","Malcolm Brady in feu","William Scott east; John Miller alias St Nicholas west","Rutherglen burgh; Nicholas Witherspoon intermediate holder","16s then 18s then 20s plus 100 Rob Hyndis pears","John Young/John Bar bailies; Nicholas Witherspoon; Stephen Brady younger; Cuthbert Brady","Liber Collegii pp.124-128","DIRECT four-generation title chain; strongest known Brady pedigree near Glasgow"
P-BRADY-KYN1528,Half acre and exchanged annualrents,Kynclaith and Glasgow,"Jonet Brady widow of Edward Scott",Edward Scott,1528-04-02,,Jonet and heirs,"Robert Smith west; John Woddrop east",,20s exchanged,"Archibald Herbertsone bailie; James Schaw; Patrick Love; Robert Brume; Thomas Blythman","Liber Collegii pp.89-90","Direct widow relationship; no connection yet to Esbell or Rutherglen household"
P-SMITH1506,Tenement owing ground annual,East High Street Cathedral to Cross,Agnes daughter/heir of Robert Watson,,1506-04-28,Robert Watson,"Sir Allan Smith and John de Glasgow alias Smith annual","Sir John Finnyson and Sir Allan Smith on north",,4s,,"Blackhouse BL204/GUA16403","catalogue only"
P-RYGLAS,Fore tenement/Glasgow parcel,West Market Cross to South Port,"John Glasgow (1527); William Glasgow (by 20 Feb 1528/29); John son/heir of William (1564)",,1527-05-02,,William Craig 1564,"James/Robert Young or late John Crownar north; John Rankin south; street east; Glasgow back tenement west in 1564",,"4s annual in Houston foundation charged to John 1527 and late William by 1542","1527 Robert Anderson William Adam John Craig John Good; 1528/29 Richard Otterburn George Rob Finlay Makculloch Thomas Fleming Henry Makandoy; 1535 Rankin witnesses; 1564 protocol witnesses","Liber Collegii pp.85-86 90-91 36 and 114-115; Town Clerks nos.1201 1233 805 810","STRONG same-parcel/title chain; missing John-to-William transfer and kin formula"
